Equipe,Cidade,Série Atual
Água Santa,Diadema,A1
Botafogo-SP,Ribeirão Preto,A1
Corinthians,São Paulo,A1
Ferroviária,Araraquara,A1
Guarani,Campinas,A1
Inter de Limeira,Limeira,A1
Ituano,Itu,A1
Mirassol,Mirassol,A1
Novorizontino,Novo Horizonte,A1
Palmeiras,São Paulo,A1
Ponte Preta,Campinas,A1
Red Bull Bragantino,Bragança Paulista,A1
Santo André,Santo André,A1
Santos,Santos,A1
São Bernardo,São Bernardo do Campo,A1
São Paulo,São Paulo,A1
Grêmio Osasco Audax,Osasco,A2
Clube Atlético Juventus,São Paulo,A2
Lemense Futebol Clube,Leme,A2
Clube Atlético Linense,Lins,A2
Atlético Monte Azul,Monte Azul Paulista,A2
Oeste Futebol Clube,Barueri,A2
Associação Portuguesa de Desportos,São Paulo,A2
Associação Atlética Portuguesa Santista,Santos,A2
Esporte Clube Primavera,Indaiatuba,A2
Red Bull Brasil,Bragança Paulista,A2
Rio Claro Futebol Clube,Rio Claro,A2
Esporte Clube São Bento,Sorocaba,A2
Associação Desportiva São Caetano,São Caetano do Sul,A2
Esporte Clube Taubaté,Taubaté,A2
Associação Esportiva Velo Clube Rioclarense,Rio Claro,A2
Esporte Clube XV de Novembro,Piracicaba,A2
Bandeirante,Birigui,A3
Barretos,Barretos,A3
Capivariano,Capivari,A3
Comercial,Ribeirão Preto,A3
Desportivo Brasil,Porto Feliz,A3
EC São Bernardo,São Bernardo do Campo,A3
Marília,Marília,A3
Matonense,Matão,A3
Nacional-SP,São Paulo,A3
Noroeste,Bauru,A3
Olímpia,Olímpia,A3
Rio Preto,São José do Rio Preto,A3
São José-SP,São José dos Campos,A3
Sertãozinho,Sertãozinho,A3
Suzano,Suzano,A3
Votuporanguense,Votuporanga,A3
América de Rio Preto,São José do Rio Preto,Segunda Divisão
Amparo,Amparo,Segunda Divisão
Andradina,Andradina,Segunda Divisão
Assisense,Assis,Segunda Divisão
Atlético Mogi,Mogi das Cruzes,Segunda Divisão
Batatais,Batatais,Segunda Divisão
Catanduva,Catanduva,Segunda Divisão
Colorado Caieiras,Caieiras,Segunda Divisão
ECUS,Suzano,Segunda Divisão
Fernandópolis,Fernandópolis,Segunda Divisão
Flamengo de Guarulhos,Guarulhos,Segunda Divisão
Francana,Franca,Segunda Divisão
Grêmio Prudente,Presidente Prudente,Segunda Divisão
Guarulhos,Guarulhos,Segunda Divisão
Independente-SP,Limeira,Segunda Divisão
Inter de Bebedouro,Bebedouro,Segunda Divisão
Itapirense,Itapira,Segunda Divisão
Itararé,Itararé,Segunda Divisão
Jabaquara,Santos,Segunda Divisão
Joseense,São José dos Campos,Segunda Divisão
Manthiqueira,Guaratinguetá,Segunda Divisão
Mauá,Mauá,Segunda Divisão
Mauaense,Mauá,Segunda Divisão
Osvaldo Cruz,Osvaldo Cruz,Segunda Divisão
Paulista,Jundiaí,Segunda Divisão
Penapolense,Penápolis,Segunda Divisão
Rio Branco-SP,Americana,Segunda Divisão
Santacruzense,Santa Cruz do Rio Pardo,Segunda Divisão
São Carlos,São Carlos,Segunda Divisão
São-Carlense,São Carlos,Segunda Divisão
Ska Brasil,Santana de Parnaíba,Segunda Divisão
Taquaritinga,Taquaritinga,Segunda Divisão
União Mogi,Mogi das Cruzes,Segunda Divisão
União São João,Araras,Segunda Divisão
VOCEM,Assis,Segunda Divisão
XV de Jaú,Jaú,Segunda Divisão
